Pos,Team,Matches,Points,Rating
1,Australia Women,26,7813,301
2,England Women,32,9075,284
3,New Zealand Women,26,6955,268
4,India Women,42,11150,265
5,South Africa Women,23,5753,250
6,West Indies Women,24,5434,226
7,Pakistan Women,27,5975,221
8,Sri Lanka Women,25,5344,214
9,Bangladesh Women,24,4548,190
10,Ireland Women,23,4123,179
11,Zimbabwe Women,20,3239,162
12,Thailand Women,22,3557,162
13,PNG Women,10,1558,156
14,Scotland Women,15,2142,143
15,UAE Women,31,4093,132
16,Tanzania Women,19,2124,112
17,Nepal Women,19,2093,110
18,Namibia Women,21,2189,104
19,Indonesia Women,8,826,103
20,Uganda Women,29,2910,100
21,Netherlands Women,13,1302,100
22,Kenya Women,25,2171,87
23,Hong Kong Women,18,1523,85
24,Jersey Women,6,458,76
25,USA Women,14,971,69
26,Italy Women,12,721,60
27,Rwanda Women,19,1126,59
28,Malaysia Women,24,1403,58
29,Nigeria Women,18,947,53
30,Sweden Women,10,495,50
31,Germany Women,20,952,47
32,Brazil Women,19,900,47
33,Canada Women,6,277,46
34,Belize Women,3,135,45
35,Spain Women,8,256,32
36,Mozambique Women,12,328,27
37,Sierra Leone Women,7,173,25
38,France Women,9,214,24
39,Botswana Women,15,345,23
40,Bhutan Women,9,207,23
41,Oman Women,13,289,22
42,Singapore Women,18,367,20
43,Malawi Women,4,71,18
44,Kuwait Women,16,278,17
45,Bahrain Women,8,138,17
46,Romania Women,7,105,15
47,Qatar Women,21,245,12
48,Costa Rica Women,3,34,11
49,Argentina Women,12,95,8
50,Austria Women,16,99,6
51,Cambodia Women,11,65,6
52,Phlilippines Women,8,42,5
53,Eswatini Women,9,0,0
54,Norway Women,9,0,0
55,Peru Women,5,0,0
